DATE,NA000334Q_NBD19470101
1947-01-01,100.00000
1947-04-01,103.71814
1947-07-01,106.32340
1947-10-01,116.67265
1948-01-01,109.84837
1948-04-01,113.74771
1948-07-01,118.60095
1948-10-01,127.00651
1949-01-01,113.14255
1949-04-01,113.40753
1949-07-01,117.31371
1949-10-01,121.92420
1950-01-01,116.29998
1950-04-01,121.15493
1950-07-01,131.93497
1950-10-01,143.16290
1951-01-01,139.49946
1951-04-01,144.69973
1951-07-01,149.72734
1951-10-01,159.11243
1952-01-01,149.76836
1952-04-01,151.99583
1952-07-01,156.02510
1952-10-01,170.17625
1953-01-01,160.70568
1953-04-01,166.49059
1953-07-01,165.29908
1953-10-01,172.86528
1954-01-01,159.97573
1954-04-01,164.26483
1954-07-01,165.65807
1954-10-01,177.75271
1955-01-01,170.66345
1955-04-01,178.48095
1955-07-01,183.01451
1955-10-01,195.19121
1956-01-01,182.73074
1956-04-01,188.65241
1956-07-01,191.14826
1956-10-01,205.62935
1957-01-01,193.95696
1957-04-01,200.22394
1957-07-01,203.61386
1957-10-01,212.57329
1958-01-01,193.51762
1958-04-01,201.38127
1958-07-01,205.27377
1958-10-01,222.48833
1959-01-01,211.47580
1959-04-01,225.03889
1959-07-01,222.56526
1959-10-01,232.68202
1960-01-01,223.98072
1960-04-01,233.32479
1960-07-01,230.81696
1960-10-01,239.07209
1961-01-01,225.88851
1961-04-01,239.61571
1961-07-01,240.19864
1961-10-01,255.38746
1962-01-01,246.63487
1962-04-01,258.05084
1962-07-01,257.47303
1962-10-01,270.23266
1963-01-01,258.04571
1963-04-01,271.61393
1963-07-01,272.82938
1963-10-01,287.22328
1964-01-01,277.64330
1964-04-01,290.77901
1964-07-01,293.33641
1964-10-01,308.31667
1965-01-01,296.53145
1965-04-01,314.23492
1965-07-01,317.15302
1965-10-01,341.01407
1966-01-01,326.55008
1966-04-01,344.69289
1966-07-01,347.77681
1966-10-01,371.49939
1967-01-01,348.90336
1967-04-01,364.54177
1967-07-01,366.61025
1967-10-01,390.00291
1968-01-01,373.36103
1968-04-01,401.35563
1968-07-01,402.98990
1968-10-01,430.28531
1969-01-01,408.41753
1969-04-01,435.51635
1969-07-01,436.43606
1969-10-01,459.23381
1970-01-01,434.20688
1970-04-01,459.05260
1970-07-01,458.17563
1970-10-01,483.38205
1971-01-01,468.02742
1971-04-01,497.83066
1971-07-01,497.53492
1971-10-01,527.90400
1972-01-01,511.48606
1972-04-01,545.14590
1972-07-01,545.41600
1972-10-01,584.58041
1973-01-01,570.63952
1973-04-01,605.76782
1973-07-01,605.75585
1973-10-01,654.50365
1974-01-01,618.56164
1974-04-01,656.64906
1974-07-01,659.82016
1974-10-01,706.54905
1975-01-01,669.58647
1975-04-01,708.16110
1975-07-01,723.66617
1975-10-01,778.91345
1976-01-01,754.18910
1976-04-01,795.49891
1976-07-01,797.53663
1976-10-01,855.35668
1977-01-01,823.96704
1977-04-01,880.40412
1977-07-01,900.63422
1977-10-01,953.85917
1978-01-01,914.55972
1978-04-01,996.92463
1978-07-01,1018.91037
1978-10-01,1089.63195
1979-01-01,1057.31747
1979-04-01,1108.30641
1979-07-01,1126.05091
1979-10-01,1199.71964
1980-01-01,1168.54540
1980-04-01,1194.19799
1980-07-01,1209.75606
1980-10-01,1312.04164
1981-01-01,1297.15883
1981-04-01,1353.11213
1981-07-01,1387.52244
1981-10-01,1444.60742
1982-01-01,1373.94225
1982-04-01,1421.36862
1982-07-01,1426.61675
1982-10-01,1494.23218
1983-01-01,1453.71558
1983-04-01,1530.65627
1983-07-01,1566.77436
1983-10-01,1661.20485
1984-01-01,1646.07587
1984-04-01,1714.08277
1984-07-01,1729.87333
1984-10-01,1812.22285
1985-01-01,1765.91278
1985-04-01,1835.95911
1985-07-01,1864.89051
1985-10-01,1950.67781
1986-01-01,1888.12760
1986-04-01,1945.45019
1986-07-01,1963.88362
1986-10-01,2031.36571
1987-01-01,1963.99132
1987-04-01,2059.97402
1987-07-01,2082.79570
1987-10-01,2193.19281
1988-01-01,2113.84174
1988-04-01,2217.88981
1988-07-01,2256.05416
1988-10-01,2363.85285
1989-01-01,2301.03424
1989-04-01,2402.87023
1989-07-01,2425.53806
1989-10-01,2514.76486
1990-01-01,2452.04882
1990-04-01,2548.78883
1990-07-01,2563.71096
1990-10-01,2629.36561
1991-01-01,2521.95839
1991-04-01,2619.66768
1991-07-01,2647.98195
1991-10-01,2737.64979
1992-01-01,2657.75510
1992-04-01,2768.65651
1992-07-01,2804.83444
1992-10-01,2915.17514
1993-01-01,2800.35215
1993-04-01,2909.25176
1993-07-01,2948.36145
1993-10-01,3066.58974
1994-01-01,2968.44795
1994-04-01,3093.43898
1994-07-01,3141.03629
1994-10-01,3254.44211
1995-01-01,3137.14549
1995-04-01,3243.60907
1995-07-01,3287.03352
1995-10-01,3392.20986
1996-01-01,3291.27648
1996-04-01,3427.69202
1996-07-01,3479.04337
1996-10-01,3602.81040
1997-01-01,3493.34325
1997-04-01,3640.54054
1997-07-01,3703.57283
1997-10-01,3825.65089
1998-01-01,3693.74156
1998-04-01,3846.19382
1998-07-01,3900.06667
1998-10-01,4052.64714
1999-01-01,3920.09163
1999-04-01,4082.98203
1999-07-01,4143.20051
1999-10-01,4316.16664
2000-01-01,4186.35486
2000-04-01,4392.13293
2000-07-01,4406.93882
2000-10-01,4539.78153
2001-01-01,4380.54601
2001-04-01,4541.09954
2001-07-01,4532.48201
2001-10-01,4635.64798
2002-01-01,4497.86998
2002-04-01,4652.95998
2002-07-01,4703.59677
2002-10-01,4828.77071
2003-01-01,4690.38412
2003-04-01,4840.27044
2003-07-01,4935.13343
2003-10-01,5118.89328
2004-01-01,4999.57605
2004-04-01,5183.83165
2004-07-01,5247.59902
2004-10-01,5454.16175
2005-01-01,5318.78387
2005-04-01,5525.15685
2005-07-01,5652.34286
2005-10-01,5794.08688
2006-01-01,5698.18281
2006-04-01,5916.52563
2006-07-01,5921.14809
2006-10-01,6081.73582
2007-01-01,5952.45226
2007-04-01,6177.89288
2007-07-01,6219.11038
2007-10-01,6394.08859
2008-01-01,6252.43517
2008-04-01,6352.18045
2008-07-01,6322.00284
2008-10-01,6322.30713
2009-01-01,6021.02159
2009-04-01,6150.75987
2009-07-01,6193.82874
2009-10-01,6384.49493
2010-01-01,6158.29530
2010-04-01,6419.76512
2010-07-01,6485.57533
2010-10-01,6662.41859
2011-01-01,6435.94543
2011-04-01,6655.09000
2011-07-01,6714.16141
2011-10-01,6862.38269
2012-01-01,6770.02068
2012-04-01,6918.58557
2012-07-01,6985.56507
2012-10-01,7111.81941
2013-01-01,6965.02898
2013-04-01,7152.92066
2013-07-01,7281.40588
2013-10-01,7457.99614
2014-01-01,7214.48621
2014-04-01,7482.14096
2014-07-01,7633.69745
2014-10-01,7770.59849
2015-01-01,7541.30126
2015-04-01,7830.31438
2015-07-01,7907.92348
2015-10-01,7995.60319
2016-01-01,7730.00667
2016-04-01,8017.98554
2016-07-01,8114.36655
2016-10-01,8274.75426
2017-01-01,7991.35682
2017-04-01,8358.85259
2017-07-01,8476.03125
2017-10-01,8700.43763
2018-01-01,8483.18375
2018-04-01,8823.59950
2018-07-01,8926.31588
2018-10-01,9078.99550
2019-01-01,8789.89863
2019-04-01,9190.22856
2019-07-01,9313.69814
2019-10-01,9527.68518
2020-01-01,9059.79623
2020-04-01,8574.41236
2020-07-01,9261.71086
2020-10-01,9608.69617
2021-01-01,9431.86317
2021-04-01,10040.77645
2021-07-01,10250.49661
2021-10-01,10759.67827
2022-01-01,10493.95183
2022-04-01,11072.05840
2022-07-01,11307.91835
2022-10-01,11615.63670
2023-01-01,11350.73081
2023-04-01,11791.61325
2023-07-01,12016.19741
2023-10-01,12238.68574
2024-01-01,11962.70407
2024-04-01,12463.09896
2024-07-01,12581.27425
