Artist,Title,Estimate,Price,Date,URL
"Bolognese School, late 17th Century","Mercury in Flight with subsidiary Studies of his Face, hand and draperies","USD 8,000 - 12,000","USD 9,200",,https://www.christies.com/en/lot/lot-472865?ldp_breadcrumb=back
A Worcester cream-jug,,GBP 25 - 50,GBP 253,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467038?ldp_breadcrumb=back
Two Chelsea plates,,GBP 400 - 450,GBP 518,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467039?ldp_breadcrumb=back
A pair of Derby shaped oval bowls,,GBP 600 - 650,GBP 690,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467040?ldp_breadcrumb=back
A Liverpool (Pennington) blue and white cylindrical mug,,GBP 25 - 200,GBP 173,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467041?ldp_breadcrumb=back
A Liverpool (Richard Chaffers) bell shaped mug,,GBP 600 - 650,GBP 690,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467042?ldp_breadcrumb=back
A Lowestoft teabowl and saucer,,GBP 80 - 100,GBP 127,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467043?ldp_breadcrumb=back
A Worcester blue and white teabowl and saucer,,GBP 25 - 200,GBP 219,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467044?ldp_breadcrumb=back
A Caughley blue and white pierced oval basket,,GBP 100 - 150,GBP 81,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467045?ldp_breadcrumb=back
A Worcester blue and white coffee cup,,GBP 100 - 200,GBP 104,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467046?ldp_breadcrumb=back
A Worcester reeded teabowl and saucer,,GBP 100 - 150,GBP 322,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467047?ldp_breadcrumb=back
A Worcester blue and white quatrefoil chestnut basket,,GBP 400 - 420,GBP 805,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467049?ldp_breadcrumb=back
Two English porcelain reeded coffee cups and two saucers,,GBP 100 - 150,GBP 253,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467050?ldp_breadcrumb=back
Two Derby figures of putti,,GBP 200 - 220,GBP 207,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467051?ldp_breadcrumb=back
Two Derby candlestick figures,,GBP 250 - 300,GBP 483,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467052?ldp_breadcrumb=back
A Derby figure emblematic of Justice,,GBP 300 - 320,GBP 437,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467053?ldp_breadcrumb=back
A pair of Derby white biscuit figure of a boy and girl,,GBP 200 - 220,GBP 253,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467054?ldp_breadcrumb=back
A pair of Derby plates,,GBP 25 - 100,GBP 35,15 JUN – 29 JAN 2010,https://www.christies.com/en/lot/lot-467056?ldp_breadcrumb=back